command,scope,metric,bytes,dimensions_json
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,opening,109,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""65540"",""position"":""65538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,claim,139,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""65540"",""position"":""65538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,root,48,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""65540"",""position"":""65538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,request,191,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""65540"",""position"":""65538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,output,30,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""65540"",""position"":""65538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,opening,109,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""65540"",""position"":""65538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,claim,139,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""65540"",""position"":""65538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,root,48,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1"",""action"":""close"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""65540"",""position"":""65538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,request,199,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
002-sizes-1000000-1000000-512-1,clearing withdrawal claim:,output,30,"{""A"":""1000000"",""B"":""512"",""K"":""1"",""N"":""1000000"",""W"":""1000000"",""action"":""amount"",""fixture"":""native_keyless_mmr"",""history_outputs"":""65536"",""operations"":""1065539"",""position"":""565538""}"
